Player,Player ID,Team,Games Played,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,AST,TO,W,L,W_PCT,MIN,OREB,DREB,REB,STL,BLK,AGE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,PTS_RANK,HEIGHT,WEIGHT,EXP,SCHOOL,POSITION,PPG,PER
Nate Williams,1631466,HOU,22,63,27,50,0.54,2,5,0.4,7,13,0.538,7,4,11,11,0.5,129.385,12,11,23,4,1,25.0,392,134,300,459,434,443,85,440,478,87,430,422,490,397,481,460,473,459,478,437,77.0,205,1,Buffalo,G,2.8636363636363638,0.193221779959037
Nathan Mensah,1641877,CHA,25,33,12,28,0.429,0,0,0.0,9,12,0.75,9,14,3,22,0.12,306.64166666666665,29,36,65,6,14,26.0,489,262,550,412,480,480,378,498,541,498,420,426,307,287,407,380,462,434,267,480,,,-1,,,1.32,0.30002445851563986
Naz Reid,1629675,MIN,81,1090,406,851,0.477,169,408,0.414,109,148,0.736,106,111,56,25,0.691,1963.8283333333334,73,350,423,63,73,24.0,10,311,65,110,72,75,204,41,53,56,128,123,343,110,49,55,213,94,27,82,81.0,264,4,Louisiana State,C-F,13.45679012345679,0.24951264409567367
Neemias Queta,1629674,BOS,28,154,67,104,0.644,0,0,0.0,20,28,0.714,20,13,24,4,0.857,333.21666666666664,53,69,122,13,21,24.0,257,45,14,404,357,390,25,498,541,498,355,353,369,176,340,312,414,359,202,371,84.0,248,2,Utah State,C,5.5,0.6032111238933627
Nic Claxton,1629651,BKN,71,841,366,582,0.629,1,5,0.2,108,196,0.551,147,93,27,44,0.38,2115.6633333333334,193,513,706,46,146,25.0,231,528,404,79,96,151,30,467,478,460,130,86,487,14,17,15,151,168,8,132,83.0,215,4,Georgia,C,11.845070422535212,0.5447464073521464
Nick Richards,1630208,CHA,67,652,260,376,0.691,0,1,0.0,132,179,0.737,54,73,14,53,0.209,1758.7366666666667,172,367,539,26,74,26.0,361,555,509,149,161,226,8,498,524,498,104,96,342,22,42,32,315,287,26,173,84.0,245,3,Kentucky,C,9.73134328358209,0.4918303100141958
Nick Smith Jr.,1641733,CHA,51,302,113,289,0.391,63,146,0.432,13,15,0.867,59,39,9,42,0.176,728.71,18,54,72,10,7,20.0,412,515,528,313,288,267,467,199,228,31,393,407,83,353,368,371,305,386,343,289,74.0,185,-1,Arkansas,G,5.921568627450981,0.037051776426836464
Nickeil Alexander-Walker,1629638,MIN,82,655,236,538,0.439,131,335,0.391,52,65,0.8,204,76,56,26,0.683,1920.9183333333333,35,132,167,64,42,25.0,10,332,69,119,178,168,340,85,89,119,232,241,212,256,248,256,111,90,90,170,77.0,205,4,Virginia Tech,G,7.987804878048781,0.18168393415996342
Nicolas Batum,201587,PHI,60,320,116,256,0.453,73,185,0.395,15,21,0.714,128,40,36,24,0.6,1529.5866666666666,70,178,248,48,38,35.0,146,282,170,182,283,278,282,180,193,110,382,381,369,121,188,172,171,157,108,281,80.0,230,15,Le Mans,G-F,5.333333333333333,0.32198240919115406
Nikola Jokic,203999,DEN,79,2085,822,1411,0.583,83,231,0.359,358,438,0.817,708,237,55,24,0.696,2736.5333333333333,223,753,976,108,68,29.0,14,282,57,9,2,11,54,156,158,230,15,15,181,9,2,3,2,8,32,5,83.0,284,8,Mega Basket,C,26.39240506329114,0.7770780549600468
Nikola Jovic,1631107,MIA,46,352,127,281,0.452,65,163,0.399,33,47,0.702,90,42,24,22,0.522,896.2366666666667,25,167,192,25,14,20.0,257,262,294,284,271,271,287,194,214,94,297,289,385,308,198,231,241,293,267,269,82.0,205,1,Mega Basket,F,7.6521739130434785,0.34310133856012737
Nikola Vucevic,202696,CHI,76,1370,586,1211,0.484,92,313,0.294,106,129,0.822,254,120,36,40,0.474,2609.5016666666666,210,591,801,50,60,33.0,146,501,340,20,24,25,185,135,104,392,133,145,171,10,8,8,85,148,45,41,82.0,260,12,Southern California,C,18.026315789473685,0.3857058276133183
Noah Clowney,1641730,BKN,23,133,50,93,0.538,12,33,0.364,21,30,0.7,18,15,10,13,0.435,369.85833333333335,26,55,81,8,16,19.0,403,152,369,394,383,399,90,357,371,213,350,348,388,305,366,359,422,407,248,387,81.0,210,-1,Alabama,F,5.782608695652174,0.3352635017912264
Norman Powell,1626181,LAC,76,1056,373,768,0.486,167,384,0.435,143,172,0.831,82,66,48,28,0.632,1990.3783333333333,16,179,195,43,22,30.0,36,361,119,107,94,99,181,45,65,28,96,102,149,374,187,225,257,183,193,86,76.0,215,8,UCLA,G,13.894736842105264,0.10048340893314253
OG Anunoby,1628384,NYK,50,733,282,577,0.489,102,267,0.382,67,89,0.753,107,81,31,19,0.62,1702.035,47,161,208,68,36,26.0,193,226,139,157,150,154,172,117,123,148,199,202,304,198,204,215,211,74,122,156,79.0,240,6,Indiana,F-G,14.66,0.1565772736753357
Obi Toppin,1630167,IND,82,843,332,579,0.573,102,253,0.403,77,100,0.77,128,69,47,35,0.573,1730.6016666666667,85,235,320,47,43,26.0,45,461,222,155,118,153,60,117,132,81,174,180,273,85,115,106,171,162,88,130,81.0,220,3,Dayton,F,10.28048780487805,0.33080980506779434
Ochai Agbaji,1630534,TOR,78,455,178,433,0.411,62,211,0.294,37,56,0.661,83,64,31,47,0.397,1641.6116666666667,74,142,216,47,44,24.0,193,534,391,169,224,202,425,201,171,393,280,260,437,103,231,202,256,162,83,234,77.0,215,1,Kansas,G,5.833333333333333,0.12640017381292978
