Player,Player ID,Team,Games Played,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,AST,TO,W,L,W_PCT,MIN,OREB,DREB,REB,STL,BLK,AGE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,PTS_RANK,HEIGHT,WEIGHT,EXP,SCHOOL,POSITION,PPG,PER
Rayan Rupert,1641712,POR,39,155,54,161,0.335,28,78,0.359,19,25,0.76,62,31,7,32,0.179,633.225,24,68,92,12,3,19.0,440,425,527,328,378,341,520,286,295,234,361,364,288,315,342,346,296,367,428,369,78.0,185,-1,New Zealand Breakers,G-F,3.9743589743589745,0.17134509850369142
Reggie Bullock Jr.,203493,HOU,44,96,34,82,0.415,27,67,0.403,1,1,1.0,15,10,24,20,0.545,417.47333333333336,6,67,73,12,5,33.0,257,237,270,378,411,407,416,291,316,82,509,535,1,452,344,370,436,367,387,409,78.0,205,10,North Carolina,G-F,2.1818181818181817,0.2467223455390364
Reggie Jackson,202704,DEN,82,833,326,756,0.431,102,284,0.359,79,98,0.806,308,106,57,25,0.695,1816.82,33,122,155,44,12,34.0,4,311,60,140,124,102,369,117,114,232,171,184,202,264,260,264,58,179,286,136,74.0,208,12,Boston College,G,10.158536585365853,0.14668486696535707
Richaun Holmes,1626158,WAS,40,199,82,147,0.558,1,3,0.333,34,47,0.723,25,24,13,27,0.325,554.11,71,111,182,11,19,30.0,377,344,443,349,329,361,74,467,496,302,291,289,356,118,278,244,391,377,219,343,81.0,235,8,Bowling Green,F,4.975,0.46290447745032576
Ricky Council IV,1641741,PHI,32,173,54,112,0.482,12,32,0.375,53,71,0.746,16,5,15,17,0.469,288.64,14,32,46,8,1,22.0,347,199,344,417,378,382,191,357,374,168,230,228,328,389,419,413,430,407,478,356,78.0,207,-1,Arkansas,G,5.40625,0.21480044345898006
Robert Covington,203496,PHI,29,127,43,98,0.439,19,56,0.339,22,26,0.846,24,11,20,9,0.69,488.415,31,66,97,39,18,33.0,297,118,66,362,395,396,339,325,326,286,344,359,122,273,348,341,397,218,228,389,79.0,209,10,Tennessee State,F,4.379310344827586,0.3398749014669901
Robert Williams III,1629057,POR,6,41,17,26,0.654,0,0,0.0,7,9,0.778,5,7,2,4,0.333,118.75,11,27,38,7,7,26.0,511,45,432,469,456,484,21,498,541,498,430,440,259,404,427,426,488,417,343,464,81.0,249,5,Texas A&M,C-F,6.833333333333333,0.5221052631578947
Robin Lopez,201577,MIL,16,18,7,19,0.368,2,8,0.25,2,2,1.0,4,2,10,6,0.625,64.73,3,2,5,1,3,36.0,403,80,128,503,512,505,498,440,450,431,487,493,1,487,538,527,507,509,428,511,,,-1,,,1.125,0.030897574540398577
Ron Harper Jr.,1631199,TOR,1,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1.0,3.65,0,0,0,0,0,24.0,538,1,1,565,561,569,561,498,541,498,531,538,531,545,557,561,544,539,520,563,,,-1,,,0.0,0.4109589041095891
Royce O'Neale,1626220,PHX,79,608,214,539,0.397,156,422,0.37,24,35,0.686,219,73,38,41,0.481,1954.2416666666666,60,317,377,59,44,30.0,124,507,334,112,197,167,452,48,46,196,335,331,403,153,60,79,101,108,83,181,78.0,226,6,Baylor,F,7.69620253164557,0.33491251934893757
Rudy Gobert,203497,MIN,76,1061,406,614,0.661,0,3,0.0,249,390,0.638,102,118,53,23,0.697,2593.1133333333332,285,697,982,52,162,31.0,22,272,55,22,72,144,18,498,496,498,39,23,452,3,4,2,218,135,5,85,85.0,258,10,Cholet,C,13.960526315789474,0.6015934513724815
Rui Hachimura,1629060,LAL,68,923,363,676,0.537,98,232,0.422,99,134,0.739,81,46,40,28,0.588,1825.4933333333333,58,236,294,41,25,26.0,110,361,191,137,98,123,91,126,155,43,143,137,340,163,113,122,260,207,175,110,80.0,230,4,Gonzaga,F,13.573529411764707,0.214462574500409
Russell Westbrook,201566,LAC,68,754,301,663,0.454,42,154,0.273,110,160,0.688,306,144,45,23,0.662,1528.8166666666666,93,250,343,74,23,35.0,66,272,88,183,140,126,275,246,222,418,126,111,401,77,99,92,59,50,188,154,76.0,200,15,UCLA,G,11.088235294117647,0.36466112134657525
Ryan Arcidiacono,1627853,NYK,20,0,0,6,0.0,0,6,0.0,0,0,0.0,4,2,15,5,0.75,45.155,0,8,8,2,0,30.0,347,64,34,524,561,543,561,498,467,498,531,538,531,545,495,512,507,488,520,563,,,-1,,,0.0,0.17716753404938546
Ryan Rollins,1631157,MIL,13,44,14,27,0.519,3,4,0.75,13,17,0.765,14,8,1,12,0.077,77.85,2,11,13,10,3,21.0,538,138,556,491,473,482,114,423,487,5,393,397,279,507,481,491,440,386,428,457,75.0,180,1,Toledo,G,3.3846153846153846,0.43673731535003213
Saben Lee,1630240,PHX,24,71,20,55,0.364,2,16,0.125,29,39,0.744,30,8,15,9,0.625,184.97166666666666,9,22,31,7,3,24.0,347,118,128,443,441,437,500,440,418,484,311,317,333,424,445,447,373,417,428,432,74.0,183,3,Vanderbilt,G,2.9583333333333335,0.31085841975798095
Saddiq Bey,1630180,ATL,63,863,290,697,0.416,113,358,0.316,170,203,0.837,92,54,28,35,0.444,2061.6583333333333,167,244,411,51,11,25.0,221,461,359,92,147,117,412,104,76,351,75,81,129,23,108,64,237,139,298,124,79.0,215,3,Villanova,G-F,13.698412698412698,0.2170582742856681
Sam Hauser,1630573,BOS,79,712,249,558,0.446,197,465,0.424,17,19,0.895,82,32,62,17,0.785,1740.585,45,231,276,40,25,26.0,2,199,21,152,169,162,304,24,35,40,372,388,54,208,123,141,257,210,175,160,79.0,217,2,Virginia,F,9.012658227848101,0.23153135296466418
Sam Merrill,1630241,CLE,61,485,158,393,0.402,143,354,0.404,26,28,0.929,108,19,36,25,0.59,1068.9183333333333,22,98,120,19,4,28.0,146,311,187,248,240,215,440,68,79,78,323,353,32,323,302,316,208,325,410,227,76.0,205,3,Utah State,G,7.950819672131147,0.20207343560702332
Sandro Mamukelashvili,1630572,SAS,46,190,73,155,0.471,19,64,0.297,25,34,0.735,49,19,12,34,0.261,450.9583333333333,45,102,147,7,12,24.0,384,446,470,371,348,349,219,325,318,382,332,334,344,208,295,278,328,417,286,349,81.0,240,2,Seton Hall,F-C,4.130434782608695,0.4989374480273492
Santi Aldama,1630583,MEM,61,654,247,568,0.435,106,304,0.349,54,87,0.621,138,69,23,38,0.377,1618.0566666666666,72,280,352,43,54,23.0,270,488,406,172,172,157,354,112,107,266,227,204,460,114,83,89,160,183,54,172,84.0,215,2,Loyola-Maryland,F-C,10.721311475409836,0.2923259795186407
Sasha Vezenkov,1628426,SAC,42,225,84,191,0.44,45,120,0.375,12,15,0.8,19,12,22,20,0.524,511.0733333333333,30,66,96,20,7,28.0,276,237,293,357,325,323,330,240,252,168,402,407,212,280,348,342,418,317,343,327,80.0,225,-1,"Barcelona, Spain",F,5.357142857142857,0.2054499680411161
Scoot Henderson,1630703,POR,62,868,307,797,0.385,87,268,0.325,167,204,0.819,336,212,18,44,0.29,1765.3933333333334,53,141,194,48,13,20.0,316,528,458,148,134,93,474,145,121,337,78,79,177,176,234,226,48,157,277,121,75.0,202,-1,NBA G League Ignite,G,14.0,0.10422606482408074
Scottie Barnes,1630567,TOR,60,1191,447,942,0.475,101,296,0.341,196,251,0.781,363,165,22,38,0.367,2094.2483333333334,141,353,494,75,88,22.0,276,488,414,85,62,63,207,121,110,284,58,58,257,36,47,40,39,47,14,67,79.0,237,2,Florida State,F-G,19.85,0.4080222896202217
Scotty Pippen Jr.,1630590,MEM,21,271,100,203,0.493,30,72,0.417,41,55,0.745,98,56,5,16,0.238,526.8283333333334,22,45,67,36,10,23.0,466,184,496,356,303,316,162,281,304,48,269,267,331,323,390,378,225,230,308,306,73.0,170,1,Vanderbilt,G,12.904761904761905,0.2913662578259205
Seth Curry,203552,CHA,44,226,80,204,0.392,38,108,0.352,28,31,0.903,44,21,25,19,0.568,615.4133333333333,18,50,68,22,6,33.0,247,226,231,332,334,315,464,259,266,256,317,345,50,353,379,377,338,306,370,325,73.0,185,9,Duke,G,5.136363636363637,0.10643253314845308
Seth Lundy,1641754,ATL,9,14,4,17,0.235,3,13,0.231,3,4,0.75,0,1,2,7,0.222,51.983333333333334,1,6,7,0,0,24.0,511,93,502,517,527,513,550,423,429,445,470,475,307,520,507,514,553,539,520,519,76.0,220,-1,Penn State,G-F,1.5555555555555556,-0.07694773966014748
Shaedon Sharpe,1631101,POR,32,510,176,434,0.406,60,180,0.333,98,119,0.824,94,72,8,24,0.25,1059.0183333333334,42,118,160,28,12,20.0,423,282,474,249,225,201,431,206,200,302,145,154,165,219,271,261,232,274,286,217,77.0,205,1,Kentucky,G,15.9375,0.12133878702131375
Shai Gilgeous-Alexander,1628983,OKC,75,2254,796,1487,0.535,95,269,0.353,567,649,0.874,465,162,55,20,0.733,2552.6866666666665,65,350,415,150,67,25.0,14,237,41,28,4,5,96,129,120,252,1,2,73,132,49,62,18,1,35,2,78.0,195,5,Kentucky,G,30.053333333333335,0.3782289509353544
Shake Milton,1629003,NYK,48,216,79,195,0.405,18,64,0.281,40,49,0.816,60,31,32,16,0.667,581.16,14,61,75,19,6,27.0,183,184,76,341,339,321,434,327,318,409,274,287,183,389,355,367,299,325,370,334,77.0,205,5,Southern Methodist,G-F,4.5,0.14281781265056095
Shaquille Harrison,1627885,MEM,3,2,1,2,0.5,0,0,0.0,0,0,0.0,0,0,1,2,0.333,5.966666666666667,0,2,2,0,1,30.0,538,28,432,562,550,561,139,498,541,498,531,538,531,545,538,546,553,539,478,557,,,-1,,,0.6666666666666666,0.41899441340782123
Sidy Cissoko,1631321,SAS,12,45,16,33,0.485,1,12,0.083,12,15,0.8,10,3,5,7,0.417,140.91833333333332,8,14,22,7,3,20.0,466,93,373,455,461,471,183,467,433,497,402,407,212,436,471,462,454,417,428,455,78.0,200,-1,NBA G League Ignite,G,3.75,0.2696597319960734
Simone Fontecchio,1631323,DET,66,692,252,548,0.46,134,334,0.401,54,66,0.818,101,68,29,37,0.439,1643.8933333333334,64,182,246,44,23,28.0,213,475,366,168,167,165,256,79,91,85,227,237,178,135,180,174,219,179,188,163,79.0,209,1,Baskonia,F,10.484848484848484,0.1964847678681504
Skylar Mays,1630219,LAL,38,155,63,159,0.396,16,54,0.296,13,17,0.765,85,20,14,24,0.368,433.27166666666665,10,33,43,21,4,26.0,361,282,412,375,362,344,454,333,332,384,393,397,279,416,413,419,252,312,410,369,75.0,205,3,Louisiana State,G,4.078947368421052,0.21349192000400058
Spencer Dinwiddie,203915,LAL,76,795,251,640,0.392,124,368,0.337,169,210,0.805,356,91,38,38,0.5,2152.4083333333333,30,175,205,51,22,31.0,124,488,300,74,168,132,463,92,70,295,77,74,206,280,192,220,41,139,193,140,77.0,215,9,Colorado,G,10.460526315789474,0.24019605945278352
Stanley Umude,1630649,DET,24,127,37,84,0.44,24,53,0.453,29,32,0.906,11,14,4,20,0.167,307.12166666666667,8,43,51,8,7,25.0,482,237,530,411,405,405,328,302,333,21,311,343,47,436,394,403,451,407,343,389,78.0,210,1,Arkansas,G,5.291666666666667,0.23280675953612304
Stephen Curry,201939,GSW,74,1956,650,1445,0.45,357,876,0.408,299,324,0.923,379,210,43,31,0.581,2421.5383333333334,37,293,330,54,28,36.0,79,406,205,38,14,7,293,1,1,73,24,32,35,241,75,102,33,126,160,10,74.0,185,14,Davidson,G,26.43243243243243,0.2151524891546214
Svi Mykhailiuk,1629004,BOS,41,162,57,137,0.416,42,108,0.389,6,9,0.667,35,12,32,9,0.78,413.16333333333336,11,40,51,11,1,26.0,183,118,23,381,372,365,413,246,266,125,437,440,424,404,402,403,359,377,478,366,79.0,205,5,Kansas,G-F,3.951219512195122,0.18152627290256476
T.J. McConnell,204456,IND,71,727,330,593,0.556,18,44,0.409,49,62,0.79,390,108,40,31,0.563,1290.9766666666667,36,155,191,72,8,32.0,110,406,241,216,122,148,75,327,350,70,246,249,236,249,212,232,29,58,331,157,73.0,190,8,Arizona,G,10.23943661971831,0.472510476564255
T.J. Warren,203933,MIN,11,41,18,41,0.439,2,13,0.154,3,4,0.75,9,4,7,4,0.636,124.67333333333333,5,17,22,4,1,30.0,440,45,108,461,447,453,336,440,429,477,470,475,307,466,458,462,462,459,478,464,80.0,220,8,North Carolina State,F,3.727272727272727,0.18047163253301962
Taj Gibson,201959,DET,20,34,15,37,0.405,2,10,0.2,2,2,1.0,11,5,8,12,0.4,204.50333333333333,12,25,37,3,7,38.0,423,138,385,435,464,463,432,440,435,460,487,493,1,397,437,429,451,471,343,474,81.0,232,14,Southern California,F,1.7,0.24204984433831558
Talen Horton-Tucker,1629659,UTA,51,516,184,465,0.396,60,182,0.33,88,109,0.807,177,65,14,37,0.275,1008.6983333333334,21,100,121,45,19,23.0,361,475,464,264,219,193,456,206,197,330,163,167,200,331,299,314,128,173,219,214,76.0,234,4,Iowa State,G,10.117647058823529,0.1764650481891679
Tari Eason,1631106,HOU,22,215,88,189,0.466,18,50,0.36,21,33,0.636,27,20,12,10,0.545,480.105,46,107,153,31,19,23.0,384,130,270,364,317,325,230,327,338,224,350,337,453,200,283,266,384,259,219,335,80.0,215,1,Louisiana State,F,9.772727272727273,0.39574676372876766
Taurean Prince,1627752,LAL,78,697,253,572,0.442,141,356,0.396,50,68,0.735,119,73,44,34,0.564,2107.6216666666664,21,209,230,58,35,30.0,72,446,237,81,165,155,322,69,77,103,243,233,344,331,149,190,184,114,128,162,78.0,218,7,Baylor,F,8.935897435897436,0.14328947399636086
Taylor Hendricks,1641707,UTA,40,292,108,240,0.45,53,140,0.379,23,29,0.793,32,27,13,27,0.325,856.4316666666666,46,139,185,28,30,20.0,377,344,443,296,291,286,291,224,235,158,338,350,230,200,237,239,369,274,148,292,81.0,215,-1,Central Florida,F,7.3,0.28607069254406364
Taze Moore,1631386,POR,4,18,8,19,0.421,1,7,0.143,1,2,0.5,5,3,1,3,0.25,40.333333333333336,4,4,8,2,0,25.0,538,39,474,528,505,505,400,467,459,478,509,493,494,473,523,512,488,488,520,511,,,-1,,,4.5,0.1487603305785124
Terance Mann,1629611,LAC,75,658,254,493,0.515,71,204,0.348,79,95,0.832,119,48,47,28,0.627,1872.8916666666667,87,167,254,43,15,27.0,45,361,126,129,164,179,118,184,176,268,171,191,148,82,198,163,184,183,258,168,77.0,215,4,Florida State,G-F,8.773333333333333,0.2197137225413465
Terquavion Smith,1631173,PHI,16,52,18,46,0.391,13,35,0.371,3,5,0.6,12,7,8,8,0.5,84.49666666666667,0,4,4,8,0,21.0,423,110,300,484,447,449,466,346,368,188,470,469,469,545,523,535,449,407,520,445,76.0,160,-1,North Carolina State,G,3.25,0.017752179573158704
Terry Rozier,1626179,MIA,61,1205,442,998,0.443,149,410,0.363,172,198,0.869,342,106,22,39,0.361,2040.3816666666667,35,212,247,63,21,30.0,276,497,417,96,65,53,319,56,51,218,74,85,78,256,144,173,46,94,202,64,73.0,190,8,Louisville,G,19.75409836065574,0.21000972857202369
Terry Taylor,1630678,CHI,31,46,20,39,0.513,2,9,0.222,4,5,0.8,10,7,12,19,0.387,187.63,17,20,37,5,2,24.0,384,226,399,441,441,458,122,440,443,449,459,469,212,366,448,429,454,444,451,454,,,-1,,,1.4838709677419355,0.2771411821137345
Thaddeus Young,201152,PHX,33,137,65,108,0.602,1,7,0.143,6,15,0.4,57,15,12,21,0.364,439.50166666666667,46,57,103,23,5,35.0,384,253,415,374,359,386,40,467,459,478,437,407,523,200,358,333,309,301,387,383,80.0,225,16,Georgia Tech,F,4.151515151515151,0.4698503229035916
Thanasis Antetokounmpo,203648,MIL,34,32,16,30,0.533,0,1,0.0,0,2,0.0,17,14,21,13,0.618,155.43166666666667,7,6,13,7,4,31.0,289,152,142,449,461,475,97,498,524,498,531,493,531,443,507,491,426,417,410,483,79.0,219,5,Panathinaikos,F,0.9411764705882353,0.14475814666680964
Theo Maledon,1630177,PHX,17,59,20,70,0.286,5,30,0.167,14,15,0.933,28,18,5,12,0.294,213.19666666666666,4,20,24,7,0,22.0,466,138,455,433,441,426,543,408,380,473,387,407,31,473,448,457,380,417,520,441,,,-1,,,3.4705882352941178,0.046905048546725246
Thomas Bryant,1628418,MIA,38,217,86,149,0.577,4,22,0.182,41,47,0.872,23,21,22,16,0.579,441.365,40,101,141,10,16,26.0,276,184,210,373,321,358,58,413,401,470,269,289,76,231,297,285,400,386,248,333,82.0,248,6,Indiana,C-F,5.7105263157894735,0.47126527930397744
Tim Hardaway Jr.,203501,DAL,79,1139,392,976,0.402,211,597,0.353,144,169,0.852,139,69,49,30,0.62,2120.3283333333334,22,232,254,42,6,32.0,29,395,138,78,83,57,441,18,9,251,95,105,113,323,121,163,158,194,370,74,77.0,205,10,Michigan,G-F,14.417721518987342,0.06366938453714323
Timmy Allen,1641851,MEM,5,13,6,23,0.261,0,7,0.0,1,2,0.5,5,2,0,5,0.0,125.45166666666667,4,13,17,4,0,24.0,560,64,560,460,515,492,546,498,459,498,509,493,494,473,473,479,488,459,520,524,,,-1,,,2.6,0.08369757277038965
Tobias Harris,202699,PHI,70,1204,463,951,0.487,91,258,0.353,187,213,0.878,217,93,41,29,0.586,2367.78,80,373,453,70,46,31.0,97,381,197,47,58,61,177,136,126,255,63,71,68,98,41,49,103,66,77,65,80.0,226,12,Tennessee,F,17.2,0.2707177187069744
Torrey Craig,1628470,CHI,53,303,108,251,0.43,60,153,0.392,27,36,0.75,58,32,22,31,0.415,1048.6016666666667,69,148,217,30,21,33.0,276,406,374,253,291,280,374,206,224,115,320,323,307,124,218,201,307,263,202,287,77.0,221,6,South Carolina Upstate,F,5.716981132075472,0.2999232310966509
Tosan Evbuomwan,1641787,DET,17,101,36,71,0.507,12,32,0.375,17,25,0.68,16,9,1,16,0.059,366.5783333333333,18,42,60,6,5,23.0,538,184,558,395,407,423,131,357,374,168,372,364,410,353,396,388,430,434,387,405,79.0,217,-1,Princeton,F,5.9411764705882355,0.252333516710844
Toumani Camara,1641739,POR,70,527,197,438,0.45,58,172,0.337,75,99,0.758,87,84,19,51,0.271,1739.32,139,204,343,66,33,24.0,307,548,467,154,209,200,294,214,202,293,180,181,294,37,156,92,245,82,137,209,79.0,226,-1,Dayton,F,7.5285714285714285,0.24779799001908792
Trae Young,1629027,ATL,54,1389,433,1008,0.43,175,469,0.373,348,407,0.855,583,235,22,32,0.407,1941.7133333333334,23,126,149,72,11,25.0,276,425,380,115,67,51,377,37,34,181,16,20,106,318,255,270,8,58,298,38,73.0,164,5,Oklahoma,G,25.72222222222222,0.2976752490068908
Trayce Jackson-Davis,1631218,GSW,68,540,233,332,0.702,0,1,0.0,74,132,0.561,82,49,39,29,0.574,1130.4516666666666,135,206,341,29,76,24.0,117,381,220,240,184,246,5,498,524,498,183,142,482,41,155,94,257,269,24,203,81.0,245,-1,Indiana,F,7.9411764705882355,0.5431457337848736
Tre Jones,1630200,SAS,77,771,303,600,0.505,64,191,0.335,101,118,0.856,478,116,21,56,0.273,2138.18,58,231,289,78,9,24.0,289,563,465,75,139,146,134,196,189,300,139,156,103,163,123,126,15,36,319,148,73.0,185,3,Duke,G,10.012987012987013,0.4162418505457913
Tre Mann,1630544,CHA,41,382,145,316,0.459,47,126,0.373,45,59,0.763,165,65,21,20,0.512,987.0983333333334,20,129,149,51,3,23.0,289,237,297,270,255,254,262,238,248,183,254,253,282,337,253,270,138,139,428,253,75.0,178,2,Florida,G,9.317073170731707,0.3155713969732836
Trendon Watford,1630570,BKN,63,432,164,311,0.527,27,68,0.397,77,97,0.794,81,63,25,38,0.397,856.52,52,142,194,23,19,23.0,247,488,394,295,234,257,106,291,313,101,174,186,228,185,231,226,260,301,219,237,80.0,237,2,Louisiana State,F,6.857142857142857,0.3356605800214823
Trent Forrest,1630235,ATL,38,83,34,90,0.378,2,10,0.2,13,17,0.765,92,20,18,20,0.474,413.76166666666666,11,40,51,11,3,25.0,316,237,340,380,411,403,486,440,435,460,393,397,279,404,402,403,237,377,428,422,76.0,210,3,Florida State,G,2.1842105263157894,0.3407758895016052
Trevelin Queen,1630243,ORL,14,40,14,38,0.368,3,17,0.176,9,12,0.75,18,7,5,9,0.357,164.72666666666666,3,17,20,7,5,27.0,466,118,419,447,473,460,498,423,412,471,420,426,307,487,458,469,422,417,387,467,77.0,190,2,New Mexico State,G,2.857142857142857,0.20033186288396942
Trey Jemison,1641998,MEM,25,171,75,136,0.551,0,0,0.0,21,25,0.84,27,34,5,20,0.2,573.985,64,70,134,12,28,24.0,466,237,510,344,344,366,84,498,541,498,350,364,124,135,338,293,384,367,160,359,82.0,260,-1,Alabama-Birmingham,C,6.84,0.3170814568324956
Trey Lyles,1626168,SAC,58,419,143,321,0.445,84,219,0.384,49,70,0.7,72,38,33,25,0.569,1158.2183333333332,61,196,257,17,19,28.0,173,311,229,237,257,252,309,152,166,145,246,232,388,146,165,159,276,334,219,247,81.0,234,8,Kentucky,F,7.224137931034483,0.3246365466499552
Trey Murphy III,1630530,NOP,57,842,275,621,0.443,169,445,0.38,123,151,0.815,124,34,35,22,0.614,1690.265,42,238,280,51,28,23.0,155,262,154,161,155,139,321,41,40,155,112,120,186,219,112,135,178,139,160,131,80.0,206,2,Virginia,F,14.771929824561404,0.26415976193082147
Tristan Thompson,202684,CLE,49,161,73,119,0.613,0,1,0.0,15,52,0.288,51,29,28,21,0.571,548.9166666666666,73,101,174,12,14,33.0,221,253,225,350,348,375,35,498,524,498,382,276,527,110,297,253,321,367,267,367,81.0,254,12,Texas-Austin,C-F,3.2857142857142856,0.5064521026263853
Tristan Vukcevic,1641774,WAS,10,85,29,67,0.433,10,36,0.278,17,22,0.773,13,10,3,7,0.3,153.41166666666666,6,30,36,5,7,21.0,489,93,452,450,427,429,362,372,367,414,372,378,268,452,424,433,444,444,343,421,82.0,220,-1,Real Madrid,F,8.5,0.2802915901658935
Troy Brown Jr.,1628972,DET,59,247,84,226,0.372,47,141,0.333,32,37,0.865,60,30,30,29,0.508,826.5116666666667,25,119,144,24,3,24.0,201,381,299,298,325,301,491,238,232,302,303,320,88,308,268,281,299,298,428,316,79.0,215,5,Oregon,G-F,4.186440677966102,0.21657286547679303
Ty Jerome,1629660,CLE,2,4,2,4,0.5,0,1,0.0,0,0,0.0,3,1,1,1,0.5,14.816666666666666,1,0,1,0,0,26.0,538,14,300,553,541,554,139,498,524,498,531,538,531,520,557,555,521,539,520,547,77.0,195,4,Virginia,G-F,2.0,0.20247469066366705
TyTy Washington Jr.,1631102,MIL,11,14,6,20,0.3,2,6,0.333,0,0,0.0,5,2,5,6,0.455,55.92166666666667,1,4,5,3,0,22.0,466,80,354,513,515,501,536,440,467,302,531,538,531,520,523,527,488,471,520,519,75.0,195,1,Kentucky,G,1.2727272727272727,-0.026823234882126783
Tyler Herro,1629639,MIA,42,875,324,735,0.441,132,333,0.396,95,111,0.856,188,93,23,19,0.548,1407.105,19,203,222,30,3,24.0,270,226,266,200,126,107,326,82,95,102,150,165,104,345,157,197,125,263,428,118,77.0,195,4,Kentucky,G,20.833333333333332,0.18157848916747507
Tyrese Haliburton,1630169,IND,69,1389,500,1048,0.477,195,535,0.364,194,227,0.855,752,159,40,29,0.58,2223.5383333333334,35,236,271,83,48,24.0,110,381,209,65,45,46,203,26,23,212,59,63,107,256,113,147,1,27,64,38,77.0,185,3,Iowa State,G,20.130434782608695,0.5147201569870244
Tyrese Maxey,1630178,PHI,70,1816,638,1419,0.45,212,569,0.373,328,378,0.868,433,116,43,27,0.614,2625.806666666667,36,222,258,69,33,23.0,79,344,152,18,18,10,295,17,14,185,19,25,81,249,134,157,22,70,137,15,74.0,200,3,Kentucky,G,25.942857142857143,0.17899261433311922
Tyus Jones,1626145,WAS,66,790,326,666,0.489,106,256,0.414,32,40,0.8,485,66,11,55,0.167,1932.6666666666667,20,159,179,71,18,28.0,392,560,530,117,124,125,169,112,129,57,303,316,212,337,207,250,13,62,228,142,73.0,196,8,Duke,G,11.969696969696969,0.38573646084856844
Udoka Azubuike,1628962,PHX,16,35,16,23,0.696,0,0,0.0,3,13,0.231,3,4,12,4,0.75,112.82833333333333,11,21,32,1,6,24.0,384,45,34,472,461,492,7,498,541,498,470,422,529,404,447,443,521,509,370,473,83.0,270,3,Kansas,C-F,2.1875,0.40769901177304757
Usman Garuba,1630586,GSW,6,3,1,6,0.167,0,1,0.0,1,2,0.5,1,2,5,1,0.833,17.783333333333335,3,4,7,1,3,22.0,466,14,16,550,550,543,555,498,524,498,509,493,494,487,523,514,544,509,428,552,80.0,229,2,Real Madrid,F,0.5,0.2811621368322399
Vasilije Micic,203995,CHA,60,422,159,370,0.43,43,154,0.279,61,75,0.813,262,99,34,26,0.567,1175.73,14,74,88,31,7,30.0,165,332,235,230,238,230,376,245,222,413,210,223,191,389,334,351,81,259,343,244,75.0,188,-1,Serbia,G,7.033333333333333,0.23347197060549615
Victor Wembanyama,1641705,SAS,71,1522,551,1186,0.465,128,394,0.325,292,367,0.796,274,260,19,52,0.268,2106.235,161,594,755,88,254,20.0,307,551,469,82,30,29,235,87,62,336,25,27,225,25,7,10,76,21,1,28,88.0,210,-1,Metropolitans 92,F-C,21.43661971830986,0.48142776090986994
Vince Williams Jr.,1631246,MEM,52,521,169,379,0.446,79,209,0.378,104,130,0.8,175,92,18,34,0.346,1436.53,59,231,290,47,34,23.0,316,446,427,197,229,220,306,167,173,159,136,144,212,159,123,123,131,162,132,212,76.0,205,1,Virginia Commonwealth,G,10.01923076923077,0.3713810362470676
Vit Krejci,1630249,ATL,22,135,51,104,0.49,28,68,0.412,5,6,0.833,50,20,9,13,0.409,541.32,11,41,52,13,6,23.0,412,152,379,353,381,390,166,286,313,63,447,460,135,404,400,401,324,359,370,386,80.0,195,2,Zaragoza,G,6.136363636363637,0.21890933274218574
Walker Kessler,1631117,UTA,64,518,229,350,0.654,4,19,0.211,56,93,0.602,60,66,26,38,0.406,1493.1066666666666,165,316,481,30,154,22.0,241,488,381,186,187,241,20,413,408,455,223,193,468,24,61,44,299,263,6,213,84.0,245,1,Auburn,C,8.09375,0.5250796995972603
Wendell Carter Jr.,1628976,ORL,55,603,223,425,0.525,64,171,0.374,93,134,0.694,95,68,30,25,0.545,1406.3033333333333,112,269,381,35,28,25.0,201,311,270,201,188,205,110,196,203,178,153,137,394,55,90,76,231,239,160,182,82.0,270,5,Duke,C-F,10.963636363636363,0.40958446612987714
Wendell Moore Jr.,1631111,MIN,25,18,9,18,0.5,0,6,0.0,0,0,0.0,6,4,18,7,0.72,75.13166666666666,0,12,12,5,1,22.0,316,93,43,493,497,511,139,498,467,498,531,538,531,545,478,497,478,444,478,511,77.0,215,1,Duke,G,0.72,0.2262694380975621
Wenyen Gabriel,1629117,MEM,5,17,8,22,0.364,1,6,0.167,0,5,0.0,3,8,1,4,0.2,81.01666666666667,7,18,25,2,2,27.0,538,45,510,488,505,495,500,467,467,473,531,469,531,443,453,456,521,488,451,514,,,-1,,,3.4,0.2160049372557087
Wesley Matthews,202083,ATL,36,110,34,97,0.351,24,69,0.348,18,24,0.75,23,8,11,25,0.306,412.87,9,44,53,16,11,37.0,392,311,451,382,411,397,514,302,310,269,366,371,307,424,392,398,400,341,298,401,77.0,220,14,Marquette,G,3.0555555555555554,0.17438903286748855
Xavier Moon,1629875,LAC,14,33,15,46,0.326,2,17,0.118,1,2,0.5,21,5,7,7,0.5,119.25,8,10,18,3,3,29.0,440,93,300,468,464,449,527,440,412,490,509,493,494,436,488,475,407,471,428,480,72.0,165,2,Morehead State,G,2.357142857142857,0.16352201257861634
